,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
52,,,,,,,,,,5.0,,,3.0,,,,,,,,,,,,,,5.0,3.0,,5.0,,,5.0,
53,,,,,,,,,,5.0,,,,,,,,,,,5.0,,4.0,,,5.0,,,,,2.0,,,5.0
54,,,,,,,,,,5.0,,5.0,,,4.0,5.0,,,,,,5.0,,,,,,5.0,,,,,,
55,,,,,,,,,,4.0,,,,,,,,,2.0,5.0,5.0,4.0,,,,,,,,4.0,4.0,,,
56,,,,,,,,,,,,5.0,,5.0,,4.0,,5.0,,,5.0,,,5.0,,,5.0,,,,,,,
57,,,,,,,,,,,,,,2.0,,,,,,5.0,5.0,,3.0,,,,,,,5.0,,,1.0,
58,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,,,4.0,,,5.0,3.0,5.0
59,,,,,,,,,,,,,,5.0,,5.0,,,,4.0,5.0,,,,,,,,,5.0,5.0,5.0,,5.0
60,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,2.0,,5.0,4.0,5.0,5.0
61,,,,,,,,,,,,,,5.0,,,,,,,4.0,,,,,,,,,1.0,4.0,2.0,,3.0
62,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,,,5.0,,5.0,5.0,5.0,
63,,,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,2.0,2.0,5.0,4.0,5.0
64,,,,,,,,,,,,,,,,5.0,,,,,4.0,5.0,,,,,,,,1.0,2.0,,5.0,4.0
65,,,,,,,,,,,,,,,,,3.0,,,2.0,3.0,,,,,,,,,1.0,,4.0,3.0,
66,,,,,,,,,,,,,,,,,4.0,,4.0,5.0,3.0,,,,,,,,3.0,,,,,4.0
67,,,,,,,,,,,,,,,,,1.0,,,2.0,5.0,,,,,,,,2.0,,,5.0,5.0,4.0
68,,,,,,,,,,,,,,,,,1.0,1.0,,5.0,,,,,,,,,,5.0,,3.0,,1.0
69,,,,,,,,,,,,,,,,,5.0,5.0,4.0,5.0,3.0,,,,,,,,,,,,,2.0
70,,,,,,,,,,,,,,,,,3.0,4.0,5.0,4.0,4.0,,,,,,,,,5.0,4.0,4.0,3.0,5.0
71,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,5.0,,,,,3.0,,3.0,,4.0
72,,,,,,,,,,,,,,,,,4.0,3.0,3.0,4.0,2.0,,,,,,,,,5.0,,,,
73,,,,,,,,,,,,,,,,,1.0,,,2.0,3.0,,,,,,,,1.0,,3.0,3.0,1.0,
74,,,,,,,,,,,,,,,,,1.0,2.0,3.0,5.0,5.0,,,,,,,,2.0,,,5.0,,
75,,,,,,,,,,,,,,,,,4.0,,5.0,5.0,,,,,,,,,5.0,,5.0,5.0,,4.0
76,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,2.0,3.0,4.0,4.0,5.0
77,,,,,,,,,,,,,,,,,3.0,1.0,5.0,5.0,4.0,,,,,,,,,3.0,4.0,5.0,,5.0
78,,,,,,,,,,,,,,,,,1.0,2.0,,2.0,4.0,,,,,,,,3.0,,1.0,,,
79,,,,,,,,,,,,,,,,,4.0,,5.0,5.0,4.0,,,,,,,,3.0,,,4.0,,
80,,,,,,,,,,,,,,,,,5.0,1.0,5.0,2.0,2.0,,,,,,,,5.0,,1.0,5.0,5.0,4.0
81,,,,,,,,,,,,,,,,,3.0,4.0,,4.0,,,,,,,,,5.0,,,2.0,5.0,
82,,,,,,,,,,,,,,,,,2.0,4.0,,3.0,5.0,4.0,,,,4.0,,,,,,,,
83,,,,,,,,,,,,,,,,,,5.0,4.0,4.0,5.0,,,,,,,,4.0,,5.0,5.0,4.0,5.0
84,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,2.0,,,,,,,,5.0,,5.0,,4.0,
85,,,,,,,,,,,,,,,,,,2.0,4.0,5.0,,,,,,,,,,3.0,,5.0,,
86,,,,,,,,,,,,,,,,,,4.0,4.0,3.0,,,,,,,,,4.0,,1.0,3.0,3.0,5.0
87,,,,,,,,,,,,,,,,,,,2.0,4.0,5.0,,,,,,,,,3.0,1.0,4.0,3.0,4.0
88,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,,,,,4.0,,5.0,5.0,4.0,
89,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,3.0,,4.0,5.0,5.0,2.0
90,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,4.0,,1.0,3.0,4.0,2.0
91,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,4.0,4.0,4.0,5.0,2.0
92,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,,,,,,,1.0,4.0,1.0,5.0
93,,,,,,,,,,,,,,,,,,,,2.0,4.0,,2.0,,,,,,,3.0,,,4.0,4.0
94,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,2.0,5.0,5.0,2.0,4.0
95,,,,,,,,,,,,,,,,,,,,5.0,3.0,5.0,,,,,,,,5.0,4.0,5.0,4.0,3.0
96,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,3.0,1.0,4.0
97,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,5.0,4.0,4.0,4.0,5.0
98,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,4.0,5.0,4.0,5.0
99,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,3.0,5.0,3.0,3.0
100,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,4.0,3.0,3.0,5.0
